2018-01-08 23:23:23,141 p=4426 u=root |  PLAY [Create initial host groups for localhost] ******************************************************************************************************
2018-01-08 23:23:23,150 p=4426 u=root |  TASK [include_vars] **********************************************************************************************************************************
2018-01-08 23:23:23,168 p=4426 u=root |  ok: [localhost]
2018-01-08 23:23:23,173 p=4426 u=root |  TASK [Evaluate group l_oo_all_hosts] *****************************************************************************************************************
2018-01-08 23:23:23,213 p=4426 u=root |  ok: [localhost] => (item=master1.host.local)
2018-01-08 23:23:23,219 p=4426 u=root |  ok: [localhost] => (item=node1.host.local)
2018-01-08 23:23:23,226 p=4426 u=root |  ok: [localhost] => (item=node2.host.local)
2018-01-08 23:23:23,233 p=4426 u=root |  PLAY [Create initial host groups for all hosts] ******************************************************************************************************
2018-01-08 23:23:23,240 p=4426 u=root |  TASK [include_vars] **********************************************************************************************************************************
2018-01-08 23:23:23,261 p=4426 u=root |  ok: [master1.host.local]
2018-01-08 23:23:23,297 p=4426 u=root |  ok: [node2.host.local]
2018-01-08 23:23:23,298 p=4426 u=root |  ok: [node1.host.local]
2018-01-08 23:23:23,304 p=4426 u=root |  PLAY [Populate config host groups] *******************************************************************************************************************
2018-01-08 23:23:23,311 p=4426 u=root |  TASK [fail] ******************************************************************************************************************************************
2018-01-08 23:23:23,326 p=4426 u=root |  skipping: [localhost]
2018-01-08 23:23:23,330 p=4426 u=root |  TASK [fail] ******************************************************************************************************************************************
2018-01-08 23:23:23,348 p=4426 u=root |  skipping: [localhost]
2018-01-08 23:23:23,352 p=4426 u=root |  TASK [fail] ******************************************************************************************************************************************
2018-01-08 23:23:23,370 p=4426 u=root |  skipping: [localhost]
2018-01-08 23:23:23,375 p=4426 u=root |  TASK [fail] ******************************************************************************************************************************************
2018-01-08 23:23:23,390 p=4426 u=root |  skipping: [localhost]
2018-01-08 23:23:23,394 p=4426 u=root |  TASK [fail] ******************************************************************************************************************************************
2018-01-08 23:23:23,409 p=4426 u=root |  skipping: [localhost]
2018-01-08 23:23:23,413 p=4426 u=root |  TASK [fail] ******************************************************************************************************************************************
2018-01-08 23:23:23,431 p=4426 u=root |  skipping: [localhost]
2018-01-08 23:23:23,435 p=4426 u=root |  TASK [Evaluate oo_all_hosts] *************************************************************************************************************************
2018-01-08 23:23:23,480 p=4426 u=root |  ok: [localhost] => (item=master1.host.local)
2018-01-08 23:23:23,488 p=4426 u=root |  ok: [localhost] => (item=node1.host.local)
2018-01-08 23:23:23,495 p=4426 u=root |  ok: [localhost] => (item=node2.host.local)
2018-01-08 23:23:23,499 p=4426 u=root |  TASK [Evaluate oo_masters] ***************************************************************************************************************************
2018-01-08 23:23:23,529 p=4426 u=root |  ok: [localhost] => (item=master1.host.local)
